"filename", "language", "Python", "Qrc", "ui", "JSON", "YAML", "Batch", "pip requirements", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\shann\Desktop\SE\attendance_system\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\shann\Desktop\SE\attendance_system\config\my_config.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\shann\Desktop\SE\attendance_system\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\shann\Desktop\SE\attendance_system\scripts\convert_ui_to_py.bat", "Batch", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\shann\Desktop\SE\attendance_system\scripts\train_model\train.ipynb", "JSON", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 1, 109
"c:\Users\shann\Desktop\SE\attendance_system\scripts\train_model\train2\args.yaml", "YAML", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 1, 107
"c:\Users\shann\Desktop\SE\attendance_system\scripts\train_model\train2\weights\best.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34629, 0, 115, 34744
"c:\Users\shann\Desktop\SE\attendance_system\scripts\train_model\train2\weights\last.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34395, 0, 100, 34495
"c:\Users\shann\Desktop\SE\attendance_system\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\db_name_list.py", "Python", 81, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 108
"c:\Users\shann\Desktop\SE\attendance_system\src\face_take.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30, 142
"c:\Users\shann\Desktop\SE\attendance_system\src\main.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\shann\Desktop\SE\attendance_system\src\main_window.py", "Python", 94, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29, 130
"c:\Users\shann\Desktop\SE\attendance_system\src\outer_lab\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\outer_lab\hopenet.py", "Python", 145, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21, 172
"c:\Users\shann\Desktop\SE\attendance_system\src\outer_lab\node_pose_net.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 59
"c:\Users\shann\Desktop\SE\attendance_system\src\resources.py", "Python", 251, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 264
"c:\Users\shann\Desktop\SE\attendance_system\src\ui_main_window.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 149
"c:\Users\shann\Desktop\SE\attendance_system\test\face_relate.ipynb", "JSON", 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 1, 157
"c:\Users\shann\Desktop\SE\attendance_system\test\sql_execute.ipynb", "JSON", 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 1, 208
"c:\Users\shann\Desktop\SE\attendance_system\test\test.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 0, 14, 35, 134
"c:\Users\shann\Desktop\SE\attendance_system\tutorial\start_window.py", "Python", 347, 0, 0, 0, 0, 0, 0, 0, 0, 38, 22, 407
"c:\Users\shann\Desktop\SE\attendance_system\tutorial\weights\best.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 28651, 0, 35, 28686
"c:\Users\shann\Desktop\SE\attendance_system\ui_creator\form.ui", "ui", 0, 0, 306, 0, 0, 0, 0, 0, 0, 0, 1, 307
"c:\Users\shann\Desktop\SE\attendance_system\ui_creator\resources.qrc", "Qrc", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 1293, 5, 306, 471, 106, 4, 3, 1, 97675, 101, 454, 100419
