"filename", "language", "Python", "Batch", "JSON", "ui", "XML", "comment", "blank", "total"
"c:\Users\shann\Desktop\SE\attendance_system\config\my_config.py", "Python", 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\shann\Desktop\SE\attendance_system\scripts\convert_ui_to_py.bat", "Batch", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\shann\Desktop\SE\attendance_system\src\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\core\face_detect.py", "Python", 84, 0, 0, 0, 0, 9, 27, 120
"c:\Users\shann\Desktop\SE\attendance_system\src\core\face_take.py", "Python", 136, 0, 0, 0, 0, 15, 44, 195
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\class_table_model.py", "Python", 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\db_name_list.py", "Python", -81, 0, 0, 0, 0, -9, -18, -108
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\qt_data_models.py", "Python", 122, 0, 0, 0, 0, 1, 30, 153
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\teacher_table_model.py", "Python", 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\shann\Desktop\SE\attendance_system\src\db\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\db\class_dao.py", "Python", 50, 0, 0, 0, 0, 2, 10, 62
"c:\Users\shann\Desktop\SE\attendance_system\src\db\database.py", "Python", 38, 0, 0, 0, 0, 0, 12, 50
"c:\Users\shann\Desktop\SE\attendance_system\src\db\person_dao.py", "Python", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\shann\Desktop\SE\attendance_system\src\db\teacher_dao.py", "Python", 47, 0, 0, 0, 0, 2, 10, 59
"c:\Users\shann\Desktop\SE\attendance_system\src\db\vec_db.py", "Python", 16, 0, 0, 0, 0, 1, 8, 25
"c:\Users\shann\Desktop\SE\attendance_system\src\face_take.py", "Python", -104, 0, 0, 0, 0, -8, -30, -142
"c:\Users\shann\Desktop\SE\attendance_system\src\main.py", "Python", 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\shann\Desktop\SE\attendance_system\src\main_window.py", "Python", -94, 0, 0, 0, 0, -7, -29, -130
"c:\Users\shann\Desktop\SE\attendance_system\src\outer_lab\facenet_pytorch.py", "Python", 327, 0, 0, 0, 0, 7, 78, 412
"c:\Users\shann\Desktop\SE\attendance_system\src\outer_lab\node_pose_net.py", "Python", 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\shann\Desktop\SE\attendance_system\src\resources.py", "Python", -251, 0, 0, 0, 0, -5, -8, -264
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\admin_window.py", "Python", 166, 0, 0, 0, 0, 6, 45, 217
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\login_window.py", "Python", 86, 0, 0, 0, 0, 10, 33, 129
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\main_window.py", "Python", 172, 0, 0, 0, 0, 23, 60, 255
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\resources.py", "Python", 251, 0, 0, 0, 0, 5, 8, 264
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\ui_admin_window.py", "Python", 283, 0, 0, 0, 0, 10, 76, 369
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\ui_login.py", "Python", 63, 0, 0, 0, 0, 10, 28, 101
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\ui_main_window.py", "Python", 212, 0, 0, 0, 0, 10, 38, 260
"c:\Users\shann\Desktop\SE\attendance_system\src\ui_main_window.py", "Python", -127, 0, 0, 0, 0, -10, -12, -149
"c:\Users\shann\Desktop\SE\attendance_system\test\face_relate.ipynb", "JSON", 0, 0, 93, 0, 0, 0, 0, 93
"c:\Users\shann\Desktop\SE\attendance_system\test\test.py", "Python", -22, 0, 0, 0, 0, -5, -17, -44
"c:\Users\shann\Desktop\SE\attendance_system\tutorial\start_window.py", "Python", -347, 0, 0, 0, 0, -38, -22, -407
"c:\Users\shann\Desktop\SE\attendance_system\tutorial\weights\best.pt", "XML", 0, 0, 0, 0, -28651, 0, -35, -28686
"c:\Users\shann\Desktop\SE\attendance_system\ui_creator\admin_window.ui", "ui", 0, 0, 0, 387, 0, 0, 6, 393
"c:\Users\shann\Desktop\SE\attendance_system\ui_creator\form.ui", "ui", 0, 0, 0, 102, 0, 0, 0, 102
"c:\Users\shann\Desktop\SE\attendance_system\ui_creator\login.ui", "ui", 0, 0, 0, 91, 0, 0, 1, 92
"Total", "-", 1081, 2, 93, 580, -28651, 30, 362, -26503
