"filename", "language", "Python", "Markdown", "JSON", "Batch", "Qrc", "pip requirements", "ui", "YAML", "XML", "comment", "blank", "total"
"c:\Users\shann\Desktop\SE\attendance_system\README.md", "Markdown", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\shann\Desktop\SE\attendance_system\config\my_config.py", "Python", -13, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4, -19
"c:\Users\shann\Desktop\SE\attendance_system\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -3
"c:\Users\shann\Desktop\SE\attendance_system\scripts\convert_ui_to_py.bat", "Batch", 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\shann\Desktop\SE\attendance_system\scripts\train_model\train.ipynb", "JSON", 0, 0, -108, 0, 0, 0, 0, 0, 0, 0, -1, -109
"c:\Users\shann\Desktop\SE\attendance_system\scripts\train_model\train2\args.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, -106, 0, 0, -1, -107
"c:\Users\shann\Desktop\SE\attendance_system\scripts\train_model\train2\weights\best.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -34629, 0, -115, -34744
"c:\Users\shann\Desktop\SE\attendance_system\scripts\train_model\train2\weights\last.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -34395, 0, -100, -34495
"c:\Users\shann\Desktop\SE\attendance_system\src\core\face_detect.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\attendance_detail_model.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\class_table_model.py", "Python", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -25
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\course_detail_model.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\course_table_model.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\course_teacher_table_model.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\qt_data_models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -4
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\student_table_model.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"c:\Users\shann\Desktop\SE\attendance_system\src\data_model\teacher_table_model.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\shann\Desktop\SE\attendance_system\src\db\attendance_info_dao.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 76
"c:\Users\shann\Desktop\SE\attendance_system\src\db\class_dao.py", "Python", -50, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -62
"c:\Users\shann\Desktop\SE\attendance_system\src\db\course_dao.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 68
"c:\Users\shann\Desktop\SE\attendance_system\src\db\database.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\shann\Desktop\SE\attendance_system\src\db\person_dao.py", "Python", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"c:\Users\shann\Desktop\SE\attendance_system\src\db\qt_data_models.py", "Python", 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 94
"c:\Users\shann\Desktop\SE\attendance_system\src\db\student_dao.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\shann\Desktop\SE\attendance_system\src\db\vec_db.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\admin_window.py", "Python", 135, 0, 0, 0, 0, 0, 0, 0, 0, 15, 29, 179
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\main_window.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, 51
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\my_delegates.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\ui_admin_window.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\shann\Desktop\SE\attendance_system\src\ui\ui_files\ui_main_window.py", "Python", -113, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -135
"c:\Users\shann\Desktop\SE\attendance_system\test\face_relate.ipynb", "JSON", 0, 0, -249, 0, 0, 0, 0, 0, 0, 0, -1, -250
"c:\Users\shann\Desktop\SE\attendance_system\test\sql_execute.ipynb", "JSON", 0, 0, -207, 0, 0, 0, 0, 0, 0, 0, -1, -208
"c:\Users\shann\Desktop\SE\attendance_system\test\test.py", "Python", -63, 0, 0, 0, 0, 0, 0, 0, 0, -9, -18, -90
"c:\Users\shann\Desktop\SE\attendance_system\ui_creator\admin_window.ui", "ui", 0, 0, 0, 0, 0, 0, -387, 0, 0, 0, -6, -393
"c:\Users\shann\Desktop\SE\attendance_system\ui_creator\form.ui", "ui", 0, 0, 0, 0, 0, 0, -408, 0, 0, 0, -1, -409
"c:\Users\shann\Desktop\SE\attendance_system\ui_creator\login.ui", "ui", 0, 0, 0, 0, 0, 0, -91, 0, 0, 0, -1, -92
"c:\Users\shann\Desktop\SE\attendance_system\ui_creator\resources.qrc", "Qrc", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -1, -6
"Total", "-", 331, -1, -564, -6, -5, -3, -886, -106, -69024, 9, -148, -70403
