epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4378,1.9749,1.7246,1.23636,0.7256,0.41943,0.47314,0.22855,1.68859,1.17024,1.11848,0.00332861,0.00332861,0.00332861
2,141.813,1.80355,1.18198,1.10127,0.75794,0.42642,0.48963,0.24747,1.64715,1.04334,1.09935,0.00659599,0.00659599,0.00659599
3,207.041,1.8009,1.11474,1.08844,0.75416,0.42142,0.48848,0.24963,1.64054,1.00508,1.09863,0.00979737,0.00979737,0.00979737
4,270.633,1.77235,1.07512,1.08363,0.77042,0.43114,0.50577,0.25575,1.65431,0.9459,1.09369,0.009703,0.009703,0.009703
5,335.135,1.7363,1.01371,1.07015,0.77661,0.44261,0.51397,0.26318,1.59408,0.93116,1.07433,0.009604,0.009604,0.009604
6,398.75,1.70257,0.98144,1.05925,0.78066,0.45892,0.53209,0.2775,1.56577,0.8865,1.07098,0.009505,0.009505,0.009505
7,462.317,1.6768,0.9503,1.04822,0.7789,0.45938,0.53813,0.28448,1.55762,0.85119,1.05944,0.009406,0.009406,0.009406
8,526.849,1.65933,0.93675,1.04329,0.79245,0.47551,0.55181,0.2869,1.5563,0.84654,1.05514,0.009307,0.009307,0.009307
9,590.877,1.6337,0.91468,1.03915,0.78954,0.47915,0.55543,0.2927,1.53183,0.84504,1.05654,0.009208,0.009208,0.009208
10,653.806,1.6338,0.9093,1.03751,0.80207,0.47574,0.55914,0.2932,1.53123,0.82251,1.0447,0.009109,0.009109,0.009109
11,717.877,1.61792,0.88971,1.03158,0.79972,0.4942,0.57151,0.30205,1.51128,0.81771,1.04364,0.00901,0.00901,0.00901
12,781.678,1.60802,0.8816,1.02834,0.80411,0.48506,0.56611,0.30028,1.49472,0.80171,1.03827,0.008911,0.008911,0.008911
13,845.262,1.60431,0.87229,1.02814,0.79957,0.5016,0.57829,0.30848,1.48608,0.77713,1.04148,0.008812,0.008812,0.008812
14,909.667,1.59194,0.86681,1.02365,0.8008,0.49611,0.57613,0.30902,1.47723,0.77389,1.0313,0.008713,0.008713,0.008713
15,974.191,1.58645,0.85878,1.0215,0.79977,0.49955,0.58343,0.31185,1.48124,0.76367,1.0311,0.008614,0.008614,0.008614
16,1037.88,1.57712,0.84854,1.02092,0.81588,0.5053,0.58778,0.313,1.46906,0.77119,1.02662,0.008515,0.008515,0.008515
17,1102.64,1.57235,0.84717,1.021,0.80185,0.50597,0.58953,0.31648,1.46203,0.74656,1.02719,0.008416,0.008416,0.008416
18,1166.69,1.56308,0.8396,1.01527,0.81524,0.50824,0.59242,0.31705,1.45485,0.74824,1.01683,0.008317,0.008317,0.008317
